Source,Target,Weight
Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),ProEdu Educación Inclusiva de Calidad,1
Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
CENTEA Uruguay,Centro de Archivos y Acceso a la Información Pública — CAinfo,1
CENTEA Uruguay,Centro de Capacitación Humanizadora — CECAHU,1
CENTEA Uruguay,Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,1
CENTEA Uruguay,"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",1
CENTEA Uruguay,Cotidiano Mujer,1
CENTEA Uruguay,Federación Autismo Uruguay - FAU,1
CENTEA Uruguay,Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,1
CENTEA Uruguay,Fundación Alejandra Forlán,1
CENTEA Uruguay,Fundación Bensadoun Laurent,1
CENTEA Uruguay,Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
CENTEA Uruguay,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Asociación de Sordos del Uruguay — ASUR (JUVESUR),Centro de Archivos y Acceso a la Información Pública — CAinfo,1
CENTEA Uruguay,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
CENTEA Uruguay,"Nacer, Crecer, Vivir — NACREVI",1
CENTEA Uruguay,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
CENTEA Uruguay,ProEdu Educación Inclusiva de Calidad,1
CENTEA Uruguay,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Centro de Capacitación Humanizadora — CECAHU,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Cotidiano Mujer,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Federación Autismo Uruguay - FAU,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Fundación Alejandra Forlán,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Fundación Bensadoun Laurent,1
Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),"Nacer, Crecer, Vivir — NACREVI",1
Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
Asociación de Sordos del Uruguay — ASUR (JUVESUR),Centro de Capacitación Humanizadora — CECAHU,1
Asociación de Sordos del Uruguay — ASUR (JUVESUR),Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,1
Asociación de Sordos del Uruguay — ASUR (JUVESUR),"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",1
