Source,Target,Weight
"Marewen Nonouti, (Kiribati)","Nei Tiwiita, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ngareia, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Reitan Ainen Boretetanti (RAB), (Kiribati)",1
"Kiribati Women and Children Support Centre, (Kiribati)","Life & Learn Kiribati, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Reitan Ainen KUC (RAK), (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Reitan Nanoia Ainen Onotoa, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Terunganaine, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ueen Abemama, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ueen Benita, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen Tebike, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen Benita, (Kiribati)",1
"Kiribati Women in Maritime Association (K-WIMA), (Kiribati)","Seventh Day Adventist Dorcas (Church Women Fellowship) (SDA DORCAS), (Kiribati)",1
"Kiribati Women in Maritime Association (K-WIMA), (Kiribati)","Te Toa Matoa (Disability Group) (TTM), (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Marewen Nonouti, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Marewen Tabiteuea Meang, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Matangareia Ainen Tamana, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ministry of Women in Action (MOWIA), (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Nei Baneawa, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Nei Mom, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Nei Tiwiita, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ngareia, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Nikabubutin Makin, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Reitan Ainen Boretetanti (RAB), (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Reitan Ainen KUC (RAK), (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Reitan Nanoia Ainen Onotoa, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Relief Society, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Terunganaine, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen Abemama, (Kiribati)",1
"Kometen Reitakiia Botaki n Aine (KRBA), (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Nei Mom, (Kiribati)","Ngareia, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Relief Society, (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Tanimwarutamu, (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
