Source,Target,Weight
"Institute of Migration and Social Changes, Yerevan (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)",Law Development and Protection Foundation,1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Real World, Real People NGO, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Social justice NGO, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Women's Empowerment Center' NGO, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Youth Avangard NGO, Yerevan (Armenia)",1
"Institute of Migration and Social Changes, Yerevan (Armenia)",Youth Syunik Youth NGO,1
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Legal Analyses and Development Center, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Iravates Club NGO, Hrazdan (Armenia)",1
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Iravates Club NGO, Hrazdan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)",Law Development and Protection Foundation,1
"Institute of Migration and Social Changes, Yerevan (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",1
